Country (or dependent territory),1950,1955,%,1960,%,1965,%,1970,%,1975,%,1980,%
 Dominican Republic,"2,353","2,738",3.07,"3,232",3.38,"3,806",3.33,"4,423",3.05,"5,049",2.68,"5,697",2.45
 Ecuador,"3,370","3,843",2.66,"4,416",2.82,"5,118",2.99,"5,940",3.02,"6,872",2.96,"7,921",2.88
 Egypt,"21,198","23,856",2.39,"26,847",2.39,"30,266",2.43,"33,575",2.1,"36,953",1.94,"42,635",2.9
 El Salvador,"1,940","2,222",2.75,"2,582",3.05,"3,018",3.17,"3,604",3.61,"4,073",2.48,"4,571",2.33
 Equatorial Guinea,212,226,1.35,244,1.54,253,0.72,271,1.36,214,-4.64,257,3.72
 Eritrea,"1,403","1,499",1.34,"1,615",1.5,"1,747",1.58,"2,161",4.35,"2,422",2.3,"2,569",1.19
 Estonia,"1,096","1,155",1.05,"1,211",0.96,"1,288",1.24,"1,364",1.14,"1,433",0.99,"1,483",0.69
 Eswatini,278,312,2.34,352,2.48,400,2.57,456,2.64,521,2.73,612,3.26
 Ethiopia,"20,175","21,991",1.74,"24,169",1.91,"26,741",2.04,"29,469",1.96,"32,976",2.27,"36,037",1.79
 Faroe Islands,32,33,0.69,35,1.26,38,1.29,39,0.85,41,1.13,44,1.26
 Federated States of Micronesia,31,36,3.12,42,3.12,49,3.12,57,3.12,67,3.11,78,3.08
 Fiji,288,333,2.94,394,3.44,464,3.33,522,2.37,577,2.03,635,1.95
 Finland,"4,009","4,235",1.1,"4,430",0.9,"4,564",0.6,"4,607",0.19,"4,712",0.45,"4,780",0.29
 France,"42,540","44,243",0.79,"46,612",1.05,"49,834",1.35,"51,955",0.84,"53,998",0.77,"55,164",0.43
 French Polynesia,63,72,2.97,82,2.44,95,3.15,115,3.78,134,3.15,151,2.54
 Gabon,416,429,0.62,447,0.79,475,1.24,515,1.64,648,4.7,714,1.97
 Gambia,272,307,2.46,352,2.81,412,3.2,485,3.3,566,3.14,653,2.9
 Georgia,"3,516","3,828",1.71,"4,147",1.62,"4,465",1.49,"4,695",1.01,"4,898",0.85,"5,046",0.6
 Germany,"68,375","70,196",0.53,"72,481",0.64,"75,639",0.86,"77,784",0.56,"78,683",0.23,"78,298",-0.1
 Ghana,"5,298","6,049",2.69,"6,959",2.84,"8,010",2.85,"8,789",1.87,"10,100",2.82,"11,153",2
 Gibraltar,23,24,0.58,25,0.49,26,0.88,27,0.72,30,2.05,29,-0.15
 Greece,"7,567","7,966",1.03,"8,328",0.89,"8,551",0.53,"8,793",0.56,"9,047",0.57,"9,643",1.28
 Greenland,23,27,3.59,33,4.09,40,3.83,47,3.44,50,1.32,51,0.25
 Grenada,76,85,2.22,91,1.27,94,0.69,96,0.45,96,0.09,91,-1.21
 Guam,60,69,2.78,67,-0.53,75,2.07,87,3.14,103,3.38,107,0.92
 Guatemala,"2,969","3,488",3.27,"4,100",3.29,"4,746",2.97,"5,265",2.1,"5,911",2.34,"6,650",2.38
 Guernsey,46,47,0.36,47,0.33,51,1.31,54,1.25,54,0.16,54,-0.13
 Guinea,"2,586","2,787",1.51,"3,027",1.66,"3,314",1.83,"3,644",1.91,"4,019",1.98,"4,448",2.05
 Guinea-Bissau,574,592,0.64,617,0.82,604,-0.42,621,0.53,681,1.89,789,2.99
 Guyana,428,492,2.79,572,3.06,641,2.31,715,2.23,768,1.45,760,-0.23
 Haiti,"3,098","3,365",1.67,"3,697",1.9,"4,094",2.06,"4,541",2.09,"4,974",1.84,"5,508",2.06
 Honduras,"1,432","1,663",3.03,"1,952",3.26,"2,330",3.6,"2,761",3.46,"2,858",0.69,"3,403",3.55
 Hong Kong,"2,238","2,491",2.17,"3,076",4.31,"3,598",3.19,"3,960",1.93,"4,396",2.12,"5,064",2.87
 Hungary,"9,339","9,826",1.02,"9,984",0.32,"10,153",0.34,"10,338",0.36,"10,532",0.37,"10,712",0.34
 Iceland,143,159,2.03,176,2.16,193,1.8,205,1.2,219,1.33,229,0.91
 India,"369,881","404,268",1.79,"445,394",1.96,"494,964",2.13,"553,889",2.28,"618,923",2.25,"684,888",2.05
 Indonesia,"82,979","90,255",1.7,"100,146",2.1,"110,754",2.03,"122,292",2,"135,214",2.03,"150,322",2.14
 Iran,"16,358","18,739",2.76,"21,600",2.88,"25,040",3,"28,995",2.98,"33,468",2.91,"39,709",3.48
 Iraq,"5,164","5,904",2.71,"6,823",2.94,"7,971",3.16,"9,414",3.38,"11,118",3.38,"13,233",3.54
 Ireland,"2,964","2,917",-0.32,"2,833",-0.58,"2,877",0.31,"2,951",0.51,"3,178",1.49,"3,402",1.37
 Isle of Man,55,52,-1.4,48,-1.34,49,0.52,53,1.43,60,2.44,65,1.54
 Israel,"1,287","1,771",6.6,"2,139",3.84,"2,573",3.77,"2,895",2.39,"3,342",2.91,"3,721",2.17
 Italy,"47,106","48,634",0.64,"50,198",0.64,"51,988",0.7,"53,662",0.64,"55,572",0.7,"56,452",0.31
 Ivory Coast,"2,861","3,165",2.04,"3,577",2.48,"4,357",4.03,"5,580",5.07,"7,031",4.73,"8,594",4.09
 Jamaica,"1,385","1,489",1.46,"1,632",1.85,"1,778",1.72,"1,944",1.81,"2,105",1.61,"2,229",1.15
 Japan,"83,806","89,816",1.39,"94,092",0.93,"98,883",1,"104,345",1.08,"111,574",1.35,"116,808",0.92
 Jersey,57,60,1.04,63,1.02,67,1.04,70,0.8,73,0.94,76,0.88
 Jordan,562,689,4.17,853,4.36,"1,069",4.62,"1,516",7.25,"1,822",3.75,"2,190",3.75
 Kazakhstan,"6,694","7,977",3.57,"9,983",4.59,"11,903",3.58,"13,107",1.95,"14,158",1.55,"15,000",1.16
 Kenya,"6,122","7,034",2.82,"8,157",3.01,"9,550",3.2,"11,248",3.33,"13,434",3.62,"16,331",3.98
 Kiribati,34,37,1.99,41,1.99,45,1.9,49,1.78,54,1.71,58,1.57
 Kosovo,762,854,2.32,947,2.1,"1,079",2.63,"1,220",2.49,"1,370",2.35,"1,522",2.13
 Kuwait,145,187,5.21,293,9.38,477,10.26,748,9.44,"1,007",6.14,"1,370",6.35
 Kyrgyzstan,"1,739","1,902",1.8,"2,172",2.69,"2,574",3.45,"2,964",2.87,"3,301",2.18,"3,632",1.93
 Laos,"1,886","2,078",1.95,"2,310",2.14,"2,566",2.12,"2,845",2.09,"3,162",2.13,"3,294",0.82
 Latvia,"1,937","2,003",0.67,"2,116",1.1,"2,254",1.28,"2,362",0.94,"2,462",0.84,"2,525",0.51
 Lebanon,"1,365","1,561",2.73,"1,787",2.73,"2,058",2.87,"2,384",2.98,"2,693",2.47,"2,902",1.51
 Lesotho,727,787,1.6,859,1.78,953,2.1,"1,068",2.3,"1,196",2.3,"1,359",2.59
 Liberia,824,929,2.41,"1,055",2.59,"1,209",2.76,"1,397",2.93,"1,617",2.97,"1,858",2.81
 Libya,962,"1,123",3.15,"1,338",3.57,"1,624",3.95,"2,000",4.25,"2,569",5.14,"3,061",3.57
 Liechtenstein,14,15,1.72,17,2.25,19,2.65,22,2.42,24,2.1,26,1.38
 Lithuania,"2,554","2,615",0.47,"2,765",1.13,"2,960",1.37,"3,138",1.18,"3,306",1.05,"3,436",0.78
 Luxembourg,296,305,0.61,314,0.6,332,1.09,340,0.46,359,1.14,365,0.3
 Macau,206,193,-1.27,187,-0.7,224,3.77,262,3.15,255,-0.54,256,0.11
 Madagascar,"4,621","5,003",1.6,"5,482",1.85,"6,071",2.06,"6,766",2.19,"7,604",2.36,"8,692",2.71
 Malawi,"2,817","3,089",1.86,"3,451",2.24,"3,915",2.55,"4,509",2.87,"5,318",3.36,"6,258",3.31
 Malaysia,"6,434","7,312",2.59,"8,429",2.88,"9,648",2.74,"10,911",2.49,"12,131",2.14,"13,461",2.1
 Maldives,80,81,0.21,93,2.86,98,1.17,115,3.22,133,2.97,153,2.88
 Mali,"3,688","4,072",2,"4,495",2,"4,978",2.06,"5,547",2.19,"6,218",2.31,"6,869",2.01
 Malta,312,315,0.15,329,0.88,320,-0.58,326,0.4,328,0.14,365,2.11
 Marshall Islands,11,13,3.32,16,3.32,18,3.32,22,4.05,27,4,31,3.03
 Mauritania,"1,006","1,054",0.93,"1,118",1.19,"1,196",1.35,"1,290",1.53,"1,405",1.72,"1,545",1.93
 Mauritius,482,572,3.5,664,3.02,756,2.64,830,1.89,886,1.31,964,1.71
 Mexico,"28,486","32,930",2.94,"38,579",3.22,"45,143",3.19,"52,776",3.17,"60,679",2.83,"68,348",2.41
 Moldova,"2,337","2,623",2.34,"2,999",2.72,"3,334",2.14,"3,595",1.52,"3,847",1.36,"3,997",0.77
 Monaco,19,19,0.17,21,2.57,23,1.59,24,1.12,26,1.13,27,1.11
 Mongolia,779,845,1.63,955,2.49,"1,091",2.69,"1,248",2.73,"1,446",2.99,"1,656",2.75
 Montenegro,396,432,1.76,462,1.35,492,1.25,515,0.94,550,1.31,561,0.4
 Montserrat,14,13,-1.08,13,-0.99,12,-0.62,12,-0.32,13,0.9,12,-0.59
 Morocco,"9,344","10,782",2.9,"12,424",2.88,"14,067",2.51,"15,910",2.49,"17,688",2.14,"19,488",1.96
